unit_name1	unit_name2	unit_ind3	unit_name3	taxon_author	rank_name	usage	parent_name	unacceptability_reason	accepted_name	page_number
Acoela				Uljanin, 1870	Order	valid
Actinoposthiidae				Hooge, 2001	Family	valid	Acoela Uljanin, 1870
Actinoposthia				An der Lan, 1936	Genus	valid	Actinoposthiidae Hooge, 2001
Actinoposthia	beklemischevi			Mamkaev, 1965	Species	valid	Actinoposthia An der Lan, 1936
Actinoposthia	biaculeata			Faubel, 1974	Species	valid	Actinoposthia An der Lan, 1936
Actinoposthia	caudata			An der Lan, 1936	Species	valid	Actinoposthia An der Lan, 1936
Actinoposthia	haplovata			Dörjes, 1968	Species	valid	Actinoposthia An der Lan, 1936
Actinoposthia	longa			Faubel, 1976	Species	valid	Actinoposthia An der Lan, 1936
Actinoposthia	pigmentea			Faubel, 1976	Species	valid	Actinoposthia An der Lan, 1936
Archactinoposthia				Dörjes, 1968	Genus	valid	Actinoposthiidae Hooge, 2001
Proactinoposthia				Dörjes, 1968	Genus	invalid	Archactinoposthia Dörjes, 1968	original misspelling	Archactinoposthia
Archactinoposthia	pelophila			Dörjes, 1968	Species	valid	Archactinoposthia Dörjes, 1968
Proactinoposthia	pelophila			Dörjes, 1968	Species	invalid	Archactinoposthia pelophila Dörjes, 1968		Archactinoposthia pelophila
Atriofronta				Dörjes, 1968	Genus	valid	Actinoposthiidae Hooge, 2001
Atriofronta	polyvacuola			Dörjes, 1968	Species	valid	Atriofronta Dörjes, 1968
Childianea				Faubel & Cameron, 2001	Genus	valid	Actinoposthiidae Hooge, 2001
Childianea	coomerensis			Faubel & Cameron, 2001	Species	valid	Childianea Faubel & Cameron, 2001
Microposthia				Faubel, 1974	Genus	valid	Actinoposthiidae Hooge, 2001
Microposthia	listensis			Faubel, 1974	Species	valid	Microposthia Faubel, 1974
Paractinoposthia				Ehlers & Dörjes, 1981	Genus	valid	Actinoposthiidae Hooge, 2001
Monoposthia				Ehlers & Dörjes, 1981	Genus	invalid	Paractinoposthia Ehlers & Dörjes, 1981	preoccupied	Paractinoposthia
Paractinoposthia	pseudovesicula			(Ehlers & Dörjes, 1979)	Species	valid	Paractinoposthia Ehlers & Dörjes, 1981
Monoposthia	pseudovesicula			Ehlers & Dörjes, 1979	Species	invalid	Paractinoposthia pseudovesicula (Ehlers & Dörjes, 1979)		Paractinoposthia pseudovesicula
Paraproporus				Westblad, 1945	Genus	valid	Actinoposthiidae Hooge, 2001
Adeloposthia				Westblad, 1945	Genus	invalid	Paraproporus Westblad, 1945	nomen nudum	Paraproporus
Paraproporus	diovatus			Dörjes, 1968	Species	valid	Paraproporus Westblad, 1945
Paraproporus	elegans			(An der Lan, 1936)	Species	valid	Paraproporus Westblad, 1945
Adeloposthia	elegans			An der Lan, 1936	Species	invalid	Paraproporus elegans (An der Lan, 1936)		Paraproporus elegans
Paraproporus	rosettiformis			Faubel, 1974	Species	valid	Paraproporus Westblad, 1945
Paraproporus	rubescens			Westblad, 1945	Species	valid	Paraproporus Westblad, 1945
Paraproporus	xanthus			Marcus, 1950	Species	valid	Paraproporus Westblad, 1945
Pelophila				Dörjes, 1968	Genus	valid	Actinoposthiidae Hooge, 2001
Pelophila	lutheri			(Westblad, 1946)	Species	valid	Pelophila Dörjes, 1968
Aphanostoma	lutheri			Westblad, 1946	Species	invalid	Pelophila lutheri (Westblad, 1946)	homonym & junior synonym	Pelophila lutheri
Convoluta	lutheri			Westblad, 1940	Species	invalid	Pelophila lutheri (Westblad, 1946)	nomen nudum	Pelophila lutheri
Mecynostomum	lutheri			Westblad, 1948	Species	invalid	Pelophila lutheri (Westblad, 1946)	homonym & junior synonym	Pelophila lutheri
Pelophila	cavernosa			Dörjes, 1968	Species	invalid	Pelophila lutheri (Westblad, 1946)	junior synonym	Pelophila lutheri
Praeaphanostoma	lutheri			Westblad, 1946	Species	invalid	Pelophila lutheri (Westblad, 1946)	homonym & junior synonym	Pelophila lutheri
Pelophila	pachymorpha			Dörjes, 1968	Species	valid	Pelophila Dörjes, 1968
Philactinoposthia				Dörjes, 1968	Genus	valid	Actinoposthiidae Hooge, 2001
Philactinoposthia	adenogonaria			Dörjes, 1968	Species	valid	Philactinoposthia Dörjes, 1968
Philactinoposthia	coneyi			Hooge & Rocha, 2006	Species	valid	Philactinoposthia Dörjes, 1968
Philactinoposthia	diploposthia			Dörjes, 1968	Species	valid	Philactinoposthia Dörjes, 1968
Philactinoposthia	helgolandica			Dörjes, 1968	Species	valid	Philactinoposthia Dörjes, 1968
Philactinoposthia	pusilla			(Westblad, 1946)	Species	valid	Philactinoposthia Dörjes, 1968
Convoluta	pusilla			Westblad, 1946	Species	invalid	Philactinoposthia pusilla (Westblad, 1946)		Philactinoposthia pusilla
Philactinoposthia	rhammifera			(Westblad, 1946)	Species	valid	Philactinoposthia Dörjes, 1968
Convoluta	rhammifera			Westblad, 1946	Species	invalid	Philactinoposthia rhammifera (Westblad, 1946)		Philactinoposthia rhammifera
Philactinoposthia	saliens			(Graff, 1882)	Species	valid	Philactinoposthia Dörjes, 1968
Convoluta	saliens			(Graff, 1882)	Species	invalid	Philactinoposthia saliens (Graff, 1882)		Philactinoposthia saliens
Cyrtomorpha	saliens			Graff L, 1882	Species	invalid	Philactinoposthia saliens (Graff, 1882)		Philactinoposthia saliens
Philactinoposthia	sp. NC			Smith & Tyler, 1985	Species	valid	Philactinoposthia Dörjes, 1968
Philactinoposthia	stylifera			(Westblad, 1946)	Species	valid	Philactinoposthia Dörjes, 1968
Convoluta	stylifera			Westblad, 1946	Species	invalid	Philactinoposthia stylifera (Westblad, 1946)		Philactinoposthia stylifera
Pseudohaplogonaria	stylifera			(Westblad, 1946)	Species	invalid	Philactinoposthia stylifera (Westblad, 1946)		Philactinoposthia stylifera
Philactinoposthia	tenebrosa			Ehlers & Dörjes, 1979	Species	valid	Philactinoposthia Dörjes, 1968
Philactinoposthia	viridis			Dörjes, 1968	Species	valid	Philactinoposthia Dörjes, 1968
Philactinoposthia	viridorhabditis			Dörjes, 1968	Species	valid	Philactinoposthia Dörjes, 1968
Pseudactinoposthia				Dörjes, 1968	Genus	valid	Actinoposthiidae Hooge, 2001
Pseudactinoposthia	daena			(Marcus, 1954)	Species	valid	Pseudactinoposthia Dörjes, 1968
Mecynostomum	daenum			Marcus, 1954	Species	invalid	Pseudactinoposthia daena (Marcus, 1954)		Pseudactinoposthia daena
Pseudactinoposthia	granaria			Dörjes, 1968	Species	valid	Pseudactinoposthia Dörjes, 1968
Pseudactinoposthia	parva			Ehlers & Dörjes, 1979	Species	valid	Pseudactinoposthia Dörjes, 1968
Pseudactinoposthia	saltans			Dörjes, 1968	Species	valid	Pseudactinoposthia Dörjes, 1968
Tetraposthia				An der Lan, 1936	Genus	valid	Actinoposthiidae Hooge, 2001
Tetraposthia	colymbetes			An der Lan, 1936	Species	valid	Tetraposthia An der Lan, 1936
Tetraposthia	colymbetes			Steinböck, 1931	Species	invalid	Tetraposthia colymbetes An der Lan, 1936	nomen nudum	Tetraposthia colymbetes
Anaperidae				Dörjes, 1968	Family	valid	Acoela Uljanin, 1870
Achoerus				Beklemischev, 1914	Genus	valid	Anaperidae Dörjes, 1968
Achoerus	caspius			Beklemischev, 1914	Species	valid	Achoerus Beklemischev, 1914
Achoerus	ferox			Beklemischev, 1937	Species	valid	Achoerus Beklemischev, 1914
Achoerus	pachycaudatus			Dörjes, 1968	Species	valid	Achoerus Beklemischev, 1914
Anaperus				Graff, 1911	Genus	valid	Anaperidae Dörjes, 1968
Anaperus	australis			Westblad, 1952	Species	valid	Anaperus Graff, 1911
Anaperus	biaculeatus			Boguta, 1970	Species	valid	Anaperus Graff, 1911
Anaperus	gardineri			(Graff, 1911)	Species	valid	Anaperus Graff, 1911
Amphiscolops	gardineri			Graff, 1911	Species	invalid	Anaperus gardineri (Graff, 1911)		Anaperus gardineri
Anaperus	ornatus			Beltagi, 2001	Species	valid	Anaperus Graff, 1911
Anaperus	rubellus			Westblad, 1945	Species	valid	Anaperus Graff, 1911
Anaperus	diploposthia			(Steinböck, 1931)	Species	invalid	Anaperus rubellus Westblad, 1945		Anaperus rubellus
Convoluta	diploposthia			Steinböck, 1931	Species	invalid	Anaperus rubellus Westblad, 1945	nomen nudum	Anaperus rubellus
Scoliopharyngia	arenicola			Ehlers, Reise, & Armonies, 1995	Species	invalid	Anaperus rubellus Westblad, 1945		Anaperus rubellus
Anaperus	singularis			Hooge & Smith, 2004	Species	valid	Anaperus Graff, 1911
Anaperus	sulcatus			Beklemischev, 1914	Species	valid	Anaperus Graff, 1911
Anaperus	tvaerminnensis			(Luther, 1912)	Species	valid	Anaperus Graff, 1911
Anaperus	balticus			Meixner, 1938	Species	invalid	Anaperus tvaerminnensis (Luther, 1912)	junior synonym	Anaperus tvaerminnensis
Palmenia	tvaerminnensis			Luther, 1912	Species	invalid	Anaperus tvaerminnensis (Luther, 1912)		Anaperus tvaerminnensis
Palmeniola	tvaerminnensis			Forsius, 1925	Species	invalid	Anaperus tvaerminnensis (Luther, 1912)		Anaperus tvaerminnensis
Conaperta				Antonius, 1968	Genus	valid	Anaperidae Dörjes, 1968
Conaperta	antonii			Achatz, Hooge & Tyler, 2007	Species	valid	Conaperta Antonius, 1968
Conaperta	cirrata			Achatz, Hooge & Tyler, 2007	Species	valid	Conaperta Antonius, 1968
Conaperta	flavibacillum			(Jensen, 1878)	Species	valid	Conaperta Antonius, 1968
Convoluta	flavibacillum			Jensen, 1878	Species	invalid	Conaperta flavibacillum (Jensen, 1878)		Conaperta flavibacillum
Conaperta	lineata			(Peebles, 1915)	Species	valid	Conaperta Antonius, 1968
Convoluta	lineata			(Peebles, 1915)	Species	invalid	Conaperta lineata (Peebles, 1915)		Conaperta lineata
Monochoerus	lineatus			Peebles, 1915	Species	invalid	Conaperta lineata (Peebles, 1915)		Conaperta lineata
Neochildia				Bush, 1975	Genus	valid	Anaperidae Dörjes, 1968
Neochildia	fusca			Bush, 1975	Species	valid	Neochildia Bush, 1975
Oxyposthia				Ivanov, 1952	Genus	valid	Anaperidae Dörjes, 1968
Oxyposthia	praedator			Ivanov, 1952	Species	valid	Oxyposthia Ivanov, 1952
Palmenia				Luther, 1912	Genus	valid	Anaperidae Dörjes, 1968
Palmeniola				Forsius, 1925	Genus	valid	Anaperidae Dörjes, 1968
Philachoerus				Dörjes, 1968	Genus	valid	Anaperidae Dörjes, 1968
Philachoerus	johanni			Dörjes, 1968	Species	valid	Philachoerus Dörjes, 1968
Pseudanaperus				Dörjes, 1968	Genus	valid	Anaperidae Dörjes, 1968
Pseudanaperus	tinctus			(Marcus, 1952)	Species	valid	Pseudanaperus Dörjes, 1968
Paraproporus	tinctus			Marcus, 1952	Species	invalid	Pseudanaperus tinctus (Marcus, 1952)		Pseudanaperus tinctus
Antigonariidae				Dörjes, 1968	Family	valid	Acoela Uljanin, 1870
Antigonaria				Dörjes, 1968	Genus	valid	Antigonariidae Dörjes, 1968
Antigonaria	arenaria			Dörjes, 1968	Species	valid	Antigonaria Dörjes, 1968
Antroposthiidae				Faubel, 1976	Family	valid	Acoela Uljanin, 1870
Antroposthia				Faubel, 1974	Genus	valid	Antroposthiidae Faubel, 1976
Antroposthia	axi			Faubel, 1974	Species	valid	Antroposthia Faubel, 1974
Antroposthia	unipora			Faubel, 1974	Species	valid	Antroposthia Faubel, 1974
Convoluella				Faubel, 1974	Genus	valid	Antroposthiidae Faubel, 1976
Convoluella	brunea			Faubel, 1974	Species	valid	Convoluella Faubel, 1974
Unantra				Faubel, 1976	Genus	valid	Antroposthiidae Faubel, 1976
Unantra	polyvacuola			Faubel, 1976	Species	valid	Unantra Faubel, 1976
Childiidae				Dörjes, 1968	Family	valid	Acoela Uljanin, 1870
Childia				Graff, 1910	Genus	valid	Childiidae Dörjes, 1968
Childia	brachyposthium			(Westblad, 1942)	Species	valid	Childia Graff, 1910
Paraphanostoma	brachyposthium			Westblad, 1942	Species	invalid	Childia brachyposthium (Westblad, 1942)		Childia brachyposthium
Childia	crassum			(Westblad, 1942)	Species	valid	Childia Graff, 1910
Paraphanostoma	crassum			Westblad, 1942	Species	invalid	Childia crassum (Westblad, 1942)		Childia crassum
Childia	cycloposthium			(Westblad, 1942)	Species	valid	Childia Graff, 1910
Paraphanostoma	cycloposthium			Westblad, 1942	Species	invalid	Childia cycloposthium (Westblad, 1942)		Childia cycloposthium
Childia	dubium			(Westblad, 1942)	Species	valid	Childia Graff, 1910
Paraphanostoma	dubium			Westblad, 1942	Species	invalid	Childia dubium (Westblad, 1942)		Childia dubium
Childia	etium			(Marcus, 1954)	Species	valid	Childia Graff, 1910
Paraphanostoma	etium			Marcus, 1954	Species	invalid	Childia etium (Marcus, 1954)		Childia etium
Childia	gracilis			(Westblad, 1945)	Species	valid	Childia Graff, 1910
Parahaploposthia	gracilis			Faubel 1977	Species	invalid	Childia gracilis (Westblad, 1945)	literature misspelling	Childia gracilis
Paraphanostoma	gracilis			Westblad, 1945	Species	invalid	Childia gracilis (Westblad, 1945)		Childia gracilis
Childia	groenlandica			(Levinsen, 1879)	Species	valid	Childia Graff, 1910
Childia	baltica			Luther, 1912	Species	invalid	Childia groenlandica (Levinsen, 1879)	junior synonym	Childia groenlandica
Childia	pansa			Marcus, 1950	Species	invalid	Childia groenlandica (Levinsen, 1879)	junior synonym	Childia groenlandica
Childia	spinosa			Graff, 1911	Species	invalid	Childia groenlandica (Levinsen, 1879)	junior synonym	Childia groenlandica
Convoluta	groenlandica			Levinsen, 1879	Species	invalid	Childia groenlandica (Levinsen, 1879)		Childia groenlandica
Childia	leptoposthium			(Riedl, 1956)	Species	valid	Childia Graff, 1910
Paraphanostoma	leptoposthium			Riedl, 1956	Species	invalid	Childia leptoposthium (Riedl, 1956)		Childia leptoposthium
Childia	macroposthium			(Steinböck, 1931)	Species	valid	Childia Graff, 1910
Convoluta	macroposthia			Steinböck, 1931	Species	invalid	Childia macroposthium (Steinböck, 1931)		Childia macroposthium
Paraphanostoma	macroposthium			Steinböck, 1931	Species	invalid	Childia macroposthium (Steinböck, 1931)		Childia macroposthium
Childia	submaculatum			(Westblad, 1942)	Species	valid	Childia Graff, 1910
Paraphanostoma	submaculatum			Westblad, 1942	Species	invalid	Childia submaculatum (Westblad, 1942)		Childia submaculatum
Childia	trianguliferum			(Westblad, 1942)	Species	valid	Childia Graff, 1910
Paraphanostoma	triangulipherum			Westblad, 1942	Species	invalid	Childia trianguliferum (Westblad, 1942)		Childia trianguliferum
Childia	vivipara			Tekle, Raikova & Jondelius 2006	Species	valid	Childia Graff, 1910
Childia	westbladi			(Marcus, 1950)	Species	valid	Childia Graff, 1910
Paraphanostoma	westbladi			Marcus, 1950	Species	invalid	Childia westbladi (Marcus, 1950)		Childia westbladi
Paraphanostoma				Westblad, 1942	Genus	valid	Childiidae Dörjes, 1968
Tetraposthia				Steinböck, 1931	Genus	valid	Childiidae Dörjes, 1968
Convolutidae				Graff, 1905	Family	valid	Acoela Uljanin, 1870
Adenopea				Antonius, 1968	Genus	valid	Convolutidae Graff, 1905
Monochoerus				Loehner & Micoletzky, 1911	Genus	invalid	Adenopea Antonius, 1968	nomen nudum	Adenopea
Adenopea	cenata			(Marcus EDB-R, 1955)	Species	valid	Adenopea Antonius, 1968
Convoluta	cenata			Marcus EDB-R, 1955	Species	invalid	Adenopea cenata (Marcus EDB-R, 1955)		Adenopea cenata
Adenopea	chuni			(Brauner, 1920)	Species	valid	Adenopea Antonius, 1968
Convoluta	chuni			(Brauner, 1920)	Species	invalid	Adenopea chuni (Brauner, 1920)		Adenopea chuni
Monochoerus	chuni			Brauner, 1920	Species	invalid	Adenopea chuni (Brauner, 1920)		Adenopea chuni
Adenopea	illardatus			(Lohner & Micoletzky, 1911)	Species	valid	Adenopea Antonius, 1968
Monochoerus	illardatus			Lohner & Micoletzky, 1911	Species	invalid	Adenopea illardatus (Lohner & Micoletzky, 1911)		Adenopea illardatus
Amphiscolops				Graff, 1904	Genus	valid	Convolutidae Graff, 1905
Amphichoerus				Graff, 1891	Genus	invalid	Amphiscolops Graff, 1904	preoccupied	Amphiscolops
Amphiscolopus				Kato, 1957	Genus	invalid	Amphiscolops Graff, 1904	literature misspelling	Amphiscolops
Oruphiscolops				Kato, 1957	Genus	invalid	Amphiscolops Graff, 1904	literature misspelling	Amphiscolops
Amphiscolops	bermudensis			Hyman, 1939	Species	valid	Amphiscolops Graff, 1904
Amphiscolops	cinereus			(Graff, 1874)	Species	valid	Amphiscolops Graff, 1904
Amphichoerus	cinereus			(Graff, 1874)	Species	invalid	Amphiscolops cinereus (Graff, 1874)		Amphiscolops cinereus
Convoluta	cinereus			Graff, 1874	Species	invalid	Amphiscolops cinereus (Graff, 1874)		Amphiscolops cinereus
Cyrtomorpha	cinerea			(Graff L, 1874)	Species	invalid	Amphiscolops cinereus (Graff, 1874)		Amphiscolops cinereus
Amphiscolops	evelinae			Marcus, 1947	Species	valid	Amphiscolops Graff, 1904
Amphiscolops	fuligineus			Peebles, 1913	Species	valid	Amphiscolops Graff, 1904
Amphiscolops	gemelliporus			Marcus, 1954	Species	valid	Amphiscolops Graff, 1904
Amphiscolops	japonicus			Kato, 1947	Species	valid	Amphiscolops Graff, 1904
Amphiscolopus	japonicus			Kato, 1957	Species	invalid	Amphiscolops japonicus Kato, 1947		Amphiscolops japonicus
Oruphiscolops	japonicus			Kato, 1957	Species	invalid	Amphiscolops japonicus Kato, 1947		Amphiscolops japonicus
Amphiscolops	marinelliensis			Beltagi & Khafagi, 1984	Species	valid	Amphiscolops Graff, 1904
Amphiscolops	mosaicus			Kozloff, 1998	Species	valid	Amphiscolops Graff, 1904
Amphiscolops	potocani			Achatz, 2008	Species	valid	Amphiscolops Graff, 1904
Amphiscolops	sp.			Steinböck, 1938	Species	valid	Amphiscolops Graff, 1904
Amphiscolops	sp. 1			Yamasu & Okazaki, 1987	Species	valid	Amphiscolops Graff, 1904
Amphiscolops	sp. 2			Yamasu & Okazaki, 1987	Species	valid	Amphiscolops Graff, 1904
Amphiscolops	sp. 3			Yamasu & Okazaki, 1987	Species	valid	Amphiscolops Graff, 1904
Amphiscolops	sp. 4			Yamasu & Okazaki, 1987	Species	valid	Amphiscolops Graff, 1904
Amphiscolops	sp. 5			Yamasu & Okazaki, 1987	Species	valid	Amphiscolops Graff, 1904
Amphiscolops	sp. 6			Achatz, 2008	Species	valid	Amphiscolops Graff, 1904
Amphiscolops	trifurcatus			(Beltagi, 1983)	Species	valid	Amphiscolops Graff, 1904
Anaperus	trifurcatus			Beltagi, 1983	Species	invalid	Amphiscolops trifurcatus (Beltagi, 1983)		Amphiscolops trifurcatus
Amphiscolops	zeii			Riedl, 1956	Species	valid	Amphiscolops Graff, 1904
Brachypea				Antonius, 1968	Genus	valid	Convolutidae Graff, 1905
Brachypea	kenoma			Antonius, 1968	Species	valid	Brachypea Antonius, 1968
Convoluta				Ørsted, 1843	Genus	valid	Convolutidae Graff, 1905
Bohmigia				Sabussow, 1899	Genus	invalid	Convoluta Ørsted, 1843	junior synonym	Convoluta
Convoluta	adaica			Beklemisch, 1964	Species	valid	Convoluta Ørsted, 1843
Convoluta	agilis			An der Lan, 1936	Species	valid	Convoluta Ørsted, 1843
Convoluta	albomaculata			(Pereyaslawzewa, 1892)	Species	valid	Convoluta Ørsted, 1843
Convoluta	anotica			Schmarda, 1859	Species	valid	Convoluta Ørsted, 1843
Convoluta	bathycola			Steinböck & Lanser, 1932	Species	valid	Convoluta Ørsted, 1843
Convoluta	bimaculata			Graff, 1882	Species	valid	Convoluta Ørsted, 1843
Convoluta	boehmigi			(Brauner, 1920)	Species	valid	Convoluta Ørsted, 1843
Convoluta	aegyptica			Antonius, 1968	Species	invalid	Convoluta boehmigi (Brauner, 1920)	junior synonym	Convoluta boehmigi
Monochoerus	boehmigi			Brauner, 1920	Species	invalid	Convoluta boehmigi (Brauner, 1920)		Convoluta boehmigi
Convoluta	borealis			Sabussow, 1900	Species	valid	Convoluta Ørsted, 1843
groenlandica	borealis			Steinböck, 1932	Species	invalid	Convoluta borealis Sabussow, 1900		Convoluta borealis
Convoluta	boyeri			Bush, 1984	Species	valid	Convoluta Ørsted, 1843
Convoluta	chiridotae			(Beklemischev, 1915)	Species	valid	Convoluta Ørsted, 1843
Otocelis	chiridotae			Beklemischev, 1915	Species	invalid	Convoluta chiridotae (Beklemischev, 1915)	incertae sedis	Convoluta chiridotae
Convoluta	confusa			Graff, 1904	Species	valid	Convoluta Ørsted, 1843
Convoluta	convoluta			(Abildgaard, 1806)	Species	valid	Convoluta Ørsted, 1843
Convoluta	albicincta			Schultze M, 1851	Species	invalid	Convoluta convoluta (Abildgaard, 1806)	junior synonym	Convoluta convoluta
Convoluta	armata			Graff, 1874	Species	invalid	Convoluta convoluta (Abildgaard, 1806)	junior synonym	Convoluta convoluta
Convoluta	diesingii			Schmidt, 1852	Species	invalid	Convoluta convoluta (Abildgaard, 1806)	junior synonym	Convoluta convoluta
Convoluta	haustrum			Dalyell, 1853	Species	invalid	Convoluta convoluta (Abildgaard, 1806)	junior synonym	Convoluta convoluta
Convoluta	infundibulum			Schmidt, 1861	Species	invalid	Convoluta convoluta (Abildgaard, 1806)	junior synonym	Convoluta convoluta
Convoluta	johnstoni			Diesing, 1862	Species	invalid	Convoluta convoluta (Abildgaard, 1806)	junior synonym	Convoluta convoluta
Convoluta	paradoxa			Ørsted, 1843	Species	invalid	Convoluta convoluta (Abildgaard, 1806)	junior synonym	Convoluta convoluta
Monotus	paradoxa			(Claperede, 1861)	Species	invalid	Convoluta convoluta (Abildgaard, 1806)		Convoluta convoluta
Planaria	convoluta			Abildgaard, 1806	Species	invalid	Convoluta convoluta (Abildgaard, 1806)		Convoluta convoluta
Convoluta	dubia			Brauner, 1926	Species	valid	Convoluta Ørsted, 1843
Convoluta	elegans			Pereyaslawzewa, 1892	Species	valid	Convoluta Ørsted, 1843
Convoluta	enelitta			Antonius, 1968	Species	valid	Convoluta Ørsted, 1843
Convoluta	furugelmi			Mamkaev, 1971	Species	valid	Convoluta Ørsted, 1843
Convoluta	hamata			An der Lan, 1936	Species	valid	Convoluta Ørsted, 1843
Convoluta	henseni			Bohmig, 1895	Species	valid	Convoluta Ørsted, 1843
Convoluta	hipparchia			Pereyaslawzewa, 1892	Species	valid	Convoluta Ørsted, 1843
Convoluta	festiva			Uljanin, 1870	Species	invalid	Convoluta hipparchia Pereyaslawzewa, 1892	nomen dubium	Convoluta hipparchia
Convoluta	kikaiensis			Yamasu, 1982	Species	valid	Convoluta Ørsted, 1843
Convoluta	krana			Antonius, 1968	Species	valid	Convoluta Ørsted, 1843
Conaperta	krana			Antonius, 1968	Species	invalid	Convoluta krana Antonius, 1968		Convoluta krana
Convoluta	lacrimosa			Achatz, Hooge & Tyler, 2007	Species	valid	Convoluta Ørsted, 1843
Convoluta	marginalis			Ivanov, 1952	Species	valid	Convoluta Ørsted, 1843
Convoluta	maris-alba			(Sabussow, 1899)	Species	valid	Convoluta Ørsted, 1843
Bohmigia	maris-alba			Sabussow, 1899	Species	invalid	Convoluta maris-alba (Sabussow, 1899)		Convoluta maris-alba
Otocelis	maris-alba			(Sabussow, 1899)	Species	invalid	Convoluta maris-alba (Sabussow, 1899)		Convoluta maris-alba
Convoluta	minima			Westblad, 1948	Species	valid	Convoluta Ørsted, 1843
Convoluta	naviculae			Yamasu, 1982	Species	valid	Convoluta Ørsted, 1843
Convoluta	niphoni			Achatz, 2008	Species	valid	Convoluta Ørsted, 1843
Convoluta	pelagica			Lohner & Micoletzky, 1911	Species	valid	Convoluta Ørsted, 1843
Convoluta	philippinensis			Bush, 1984	Species	valid	Convoluta Ørsted, 1843
Convoluta	punctata			Riedl, 1959	Species	valid	Convoluta Ørsted, 1843
Convoluta	pygopora			Antonius, 1968	Species	valid	Convoluta Ørsted, 1843
Convoluta	schmidti			Czerniavsky, 1881	Species	valid	Convoluta Ørsted, 1843
Convoluta	schuelii			Achatz, 2008	Species	valid	Convoluta Ørsted, 1843
Convoluta	semperi			Graff, 1882	Species	valid	Convoluta Ørsted, 1843
Convoluta	sordida			Graff, 1882	Species	valid	Convoluta Ørsted, 1843
Convoluta	lacazii			Graff, 1891	Species	invalid	Convoluta sordida Graff, 1882	junior synonym	Convoluta sordida
Convoluta	subtilis			(Graff, 1882)	Species	invalid	Convoluta sordida Graff, 1882		Convoluta sordida
Cyrtomorpha	subtilis			Graff L, 1882	Species	invalid	Convoluta sordida Graff, 1882		Convoluta sordida
Darwinia	subtilis			Pereyaslawzewa, 1892	Species	invalid	Convoluta sordida Graff, 1882		Convoluta sordida
Convoluta	sp.			Sabussow, 1897	Species	valid	Convoluta Ørsted, 1843
Convoluta	sp. 1			Yamasu & Okazaki, 1987	Species	valid	Convoluta Ørsted, 1843
Convoluta	sp. 2			Yamasu & Okazaki, 1987	Species	valid	Convoluta Ørsted, 1843
Convoluta	sp. 3			Yamasu & Okazaki, 1987	Species	valid	Convoluta Ørsted, 1843
Convoluta	sp. Panama			Hooge & Tyler, 2008	Species	valid	Convoluta Ørsted, 1843
Convoluta	thela			(Antonius, 1968)	Species	valid	Convoluta Ørsted, 1843
Conaperta	thela			Antonius, 1968	Species	invalid	Convoluta thela (Antonius, 1968)		Convoluta thela
Convoluta	uljanini			Graff, 1904	Species	valid	Convoluta Ørsted, 1843
Convoluta	variabilis			(Pereyaslawzewa, 1892)	Species	valid	Convoluta Ørsted, 1843
Darwinia	variabilis			Pereyaslawzewa, 1892	Species	invalid	Convoluta variabilis (Pereyaslawzewa, 1892)		Convoluta variabilis
Convoluta	virescens			Wilhelmi, 1913	Species	valid	Convoluta Ørsted, 1843
Haplodiscus				Weldon, 1888	Genus	valid	Convolutidae Graff, 1905
Haplodiscus	acuminatus			Bohmig, 1895	Species	valid	Haplodiscus Weldon, 1888
Haplodiscus	bocki			Dörjes, 1970	Species	valid	Haplodiscus Weldon, 1888
Haplodiscus	incola			Wilhelmi, 1913	Species	valid	Haplodiscus Weldon, 1888
Haplodiscus	obtusus			Bohmig, 1895	Species	valid	Haplodiscus Weldon, 1888
Haplodiscus	ovatus			Bohmig, 1895	Species	valid	Haplodiscus Weldon, 1888
Haplodiscus	piger			Weldon, 1888	Species	valid	Haplodiscus Weldon, 1888
Haplodiscus	orbicularis			Bohmig, 1895	Species	invalid	Haplodiscus piger Weldon, 1888	junior synonym	Haplodiscus piger
Haplodiscus	ussowi			Sabussow, 1896	Species	invalid	Haplodiscus piger Weldon, 1888	nomen dubium	Haplodiscus piger
Haplodiscus	scutiformis			Bohmig, 1895	Species	valid	Haplodiscus Weldon, 1888
Haplodiscus	sp.			Yamasu & Okazaki, 1987	Species	valid	Haplodiscus Weldon, 1888
Haplodiscus	weldoni			Bohmig, 1895	Species	valid	Haplodiscus Weldon, 1888
Heterochaerus				Haswell, 1905	Genus	valid	Convolutidae Graff, 1905
Heterochaerus	australis			Haswell, 1905	Species	valid	Heterochaerus Haswell, 1905
Amphiscolops	australis			(Haswell, 1905)	Species	invalid	Heterochaerus australis Haswell, 1905		Heterochaerus australis
