Year	Date (full)	Date (free format)	Taxonomic name	Institution code	Collection code	Catalogue number text	Basis of record	Bibliographical reference	Location node	Location (NID)	Kind of Locality	Earliest date collected	Latest date collected	Min depth (m)	Max depth (m)	Depth (free format)	Substrate (type)	Habitat notes	Field notes
1962	1962-01-01	1962	Actinoposthia beklemischevi	TTDB	LIT	Actinoposthia_beklemischevi-A	Other Specimen	5089	TTDB-0308	5598	type locality	01/01/1962	01/01/1962			subtidal	sand	fine sand	
2003	2003-09-01	Sep 2003	Actinoposthia beklemischevi	TTDB	LIT	Actinoposthia_beklemischevi-B	Other Specimen	5091	TTDB-1703	6009		09/01/2003	09/01/2003						
1974	1974-06-01	Jun, Aug 1974	Actinoposthia biaculeata	TTDB	LIT	Actinoposthia_biaculeata-A	Other Specimen	5092	TTDB-0506	5648	type locality	06/01/1974	06/01/1974			surf zone			surf zone, several specimens.
1972	1972-05-01	May-November 1972	Actinoposthia biaculeata	TTDB	LIT	Actinoposthia_biaculeata-B	Other Specimen	5093	TTDB-0323	5613	type locality	05/01/1972	05/01/1972	1	1	eulittoral, littoral	sand	sandy beach (middlelotic), sandy beach slope, sandy beach slopes and wadden areas, wadden areas	Sand beach slope, several specimens
1972	1972-01-01	1972-1975	Actinoposthia biaculeata	TTDB	LIT	Actinoposthia_biaculeata-C	Other Specimen	5094	TTDB-0313	5603		01/01/1972	01/01/1972						exposed beach slope
1972	1972-01-01	1972-1975	Actinoposthia biaculeata	TTDB	LIT	Actinoposthia_biaculeata-D	Other Specimen	5094	TTDB-0313	5603		01/01/1972	01/01/1972						semi-exposed beach slope, clean sand flat
1972	1972-01-01	1972-1975	Actinoposthia biaculeata	TTDB	LIT	Actinoposthia_biaculeata-E	Other Specimen	5094	TTDB-0309	5599		01/01/1972	01/01/1972						semi-exposed beach slope, clean flat sand
1972	1972-01-01	1972-1975	Actinoposthia biaculeata	TTDB	LIT	Actinoposthia_biaculeata-F	Other Specimen	5094	TTDB-0322	5612		01/01/1972	01/01/1972				sand||mud	mud, sand	sublittoral
1972	1972-01-01	1972-1975	Actinoposthia biaculeata	TTDB	LIT	Actinoposthia_biaculeata-G	Other Specimen	5094	TTDB-0311	5601		01/01/1972	01/01/1972						clean sand flat
1926	1926-07-01	July-August 1926	Actinoposthia caudata	TTDB	LIT	Actinoposthia_caudata-A	Other Specimen	5095	TTDB-0375	5630	type locality	07/01/1926	07/01/1926	250	250	250 m to (?300 m)	mud	mud	
1964	1964-10-01	Oct 1964	Actinoposthia haplovata	TTDB	LIT	Actinoposthia_haplovata-A	Other Specimen	5096	TTDB-0608	5674	type locality	10/01/1964	10/01/1964	5	5	5 m	sand	fine sand	museum specimen number: SMF 3270-73
2002	2002-05-12	May 12-16, 2002	Actinoposthia haplovata	TTDB	LIT	Actinoposthia_haplovata-B	Other Specimen	5097	TTDB-2804	6087		05/12/2002	05/12/2002	1	1	mid-eulittoral	rock	rock	Site 7, rockpool at mid-littoral.  Sediment and aufwuchs settled on Laminaria holdfasts, algae, Porifera and Cnidaria were sampled.  Sublittoral samples by SCUBA.
2002	2002-05-12	May 12-16, 2002	Actinoposthia haplovata	TTDB	LIT	Actinoposthia_haplovata-C	Other Specimen	5097	TTDB-2801	6086		05/12/2002	05/12/2002			sublittoral	sand||shell	medium to coarse sand with broken shells	Site 4, Moth's Ledge, sublittoral fringe at low tide.  Sediment and aufwuchs settled on Laminaria holdfasts, algae, Porifera and Cnidaria were sampled.  Sublittoral samples by SCUBA.
1975	1975-07-01	Jul 1975	Actinoposthia longa	TTDB	LIT	Actinoposthia_longa-A	Other Specimen	5092	TTDB-0511	5653		07/01/1975	07/01/1975				sand	sand	1 specimen.
1973	1973-07-01	Jul 1973	Actinoposthia longa	TTDB	LIT	Actinoposthia_longa-B	Other Specimen	5092	TTDB-0510	5652		07/01/1973	07/01/1973				sand	sand	2 specimens.
1974	1974-07-01	Jul 1974; Jul 1975	Actinoposthia longa	TTDB	LIT	Actinoposthia_longa-C	Other Specimen	5092	TTDB-0323	5613	type locality	07/01/1974	07/01/1974	1	1	eulittoral, littoral	sand	sandy beach (middlelotic), sandy beach slope, sandy beach slopes and wadden areas, wadden areas	2 specimens.
1972	1972-01-01	1972-1975	Actinoposthia longa	TTDB	LIT	Actinoposthia_longa-D	Other Specimen	5094	TTDB-0313	5603		01/01/1972	01/01/1972						semi-exposed beach slope, clean sand flat
1973	1973-03-01	Mar, Apr, Dec 1973	Actinoposthia pigmentea	TTDB	LIT	Actinoposthia_pigmentea-A	Other Specimen	5092	TTDB-0507	5649	type locality	03/01/1973	03/01/1973				sand	sand	2 specimens.
1974	1974-06-01	Jun, Aug 1974	Actinoposthia pigmentea	TTDB	LIT	Actinoposthia_pigmentea-B	Other Specimen	5092	TTDB-0323	5613		06/01/1974	06/01/1974	1	1	eulittoral, littoral	sand	sandy beach (middlelotic), sandy beach slope, sandy beach slopes and wadden areas, wadden areas	2 specimens.
1975	1975-05-01	May 1975	Actinoposthia pigmentea	TTDB	LIT	Actinoposthia_pigmentea-C	Other Specimen	5092	TTDB-0508	5650		05/01/1975	05/01/1975				sand	coarse sand	3 specimens.
1975	1975-06-01	Jun 1975	Actinoposthia pigmentea	TTDB	LIT	Actinoposthia_pigmentea-D	Other Specimen	5092	TTDB-0509	5651		06/01/1975	06/01/1975				sand	sand	2 juvenile specimens.
1975	1975-07-01	Jul 1975	Actinoposthia pigmentea	TTDB	LIT	Actinoposthia_pigmentea-E	Other Specimen	5092	TTDB-0311	5601		07/01/1975	07/01/1975						sand flat south of Jordsad, 3 specimens.
