taxonID	scientificName	parentNameUsageID	kingdom	phylum	class	order	family	genus	taxonRank	furtherInformationURL	taxonomicStatus	taxonRemarks	namePublishedIn	referenceID	acceptedNameUsageID	rights	rightsHolder	datasetName
urn:lsid:marinespecies.org:taxname:1	Biota								kingdom	http://www.marinespecies.org/aphia.php?p=taxdetails&id=1	accepted			WoRMS:citation:1	urn:lsid:marinespecies.org:taxname:1			
urn:lsid:marinespecies.org:taxname:2	Animalia	urn:lsid:marinespecies.org:taxname:1	Animalia						kingdom	http://www.marinespecies.org/aphia.php?p=taxdetails&id=2	accepted			WoRMS:citation:2	urn:lsid:marinespecies.org:taxname:2			
urn:lsid:marinespecies.org:taxname:3	"Plantae Haeckel, 1866"	urn:lsid:marinespecies.org:taxname:1	Plantae						kingdom	http://www.marinespecies.org/aphia.php?p=taxdetails&id=3	accepted			WoRMS:citation:3	urn:lsid:marinespecies.org:taxname:3			
urn:lsid:marinespecies.org:taxname:4	Fungi	urn:lsid:marinespecies.org:taxname:1	Fungi						kingdom	http://www.marinespecies.org/aphia.php?p=taxdetails&id=4	accepted			WoRMS:citation:4	urn:lsid:marinespecies.org:taxname:4			
urn:lsid:marinespecies.org:taxname:5	"Protozoa Owen, 1858"	urn:lsid:marinespecies.org:taxname:1	Protozoa						kingdom	http://www.marinespecies.org/aphia.php?p=taxdetails&id=5	accepted			WoRMS:citation:5	urn:lsid:marinespecies.org:taxname:5			
urn:lsid:marinespecies.org:taxname:6	Bacteria	urn:lsid:marinespecies.org:taxname:1	Bacteria						kingdom	http://www.marinespecies.org/aphia.php?p=taxdetails&id=6	accepted			WoRMS:citation:6	urn:lsid:marinespecies.org:taxname:6			
urn:lsid:marinespecies.org:taxname:7	Chromista	urn:lsid:marinespecies.org:taxname:1	Chromista						kingdom	http://www.marinespecies.org/aphia.php?p=taxdetails&id=7	accepted			WoRMS:citation:7	urn:lsid:marinespecies.org:taxname:7			
urn:lsid:marinespecies.org:taxname:8	"Archaea Woese, Kandler & Wheelis, 1990"	urn:lsid:marinespecies.org:taxname:1	Archaea						kingdom	http://www.marinespecies.org/aphia.php?p=taxdetails&id=8	accepted			WoRMS:citation:8	urn:lsid:marinespecies.org:taxname:8			
urn:lsid:marinespecies.org:taxname:10	Viruses	urn:lsid:marinespecies.org:taxname:1	Viruses						kingdom	http://www.marinespecies.org/aphia.php?p=taxdetails&id=10	accepted			WoRMS:citation:10	urn:lsid:marinespecies.org:taxname:10			
urn:lsid:marinespecies.org:taxname:11	Ciliophora	urn:lsid:marinespecies.org:taxname:536209	Chromista	Ciliophora					phylum	http://www.marinespecies.org/aphia.php?p=taxdetails&id=11	accepted			WoRMS:citation:11	urn:lsid:marinespecies.org:taxname:11			
urn:lsid:marinespecies.org:taxname:12	Biota incertae sedis	urn:lsid:marinespecies.org:taxname:1	Biota incertae sedis						kingdom	http://www.marinespecies.org/aphia.php?p=taxdetails&id=12	accepted			WoRMS:citation:12	urn:lsid:marinespecies.org:taxname:12			
urn:lsid:marinespecies.org:taxname:13	Mastigophora	urn:lsid:marinespecies.org:taxname:9	Protozoa	Sarcomastigophora					subphylum	http://www.marinespecies.org/aphia.php?p=taxdetails&id=13	synonym			WoRMS:citation:13	urn:lsid:marinespecies.org:taxname:450030			
urn:lsid:marinespecies.org:taxname:25	"Choanoflagellida Kent, 1880"	urn:lsid:marinespecies.org:taxname:24	Protozoa	Sarcomastigophora	Zoomastigophora	Choanoflagellida			order	http://www.marinespecies.org/aphia.php?p=taxdetails&id=25	accepted			WoRMS:citation:25	urn:lsid:marinespecies.org:taxname:25			
urn:lsid:marinespecies.org:taxname:26	Kinetoplastida	urn:lsid:marinespecies.org:taxname:146221	Protozoa	Discomitochondria	Kinetoplastida				class	http://www.marinespecies.org/aphia.php?p=taxdetails&id=26	synonym			WoRMS:citation:26	urn:lsid:marinespecies.org:taxname:562565			
urn:lsid:marinespecies.org:taxname:51	Mollusca	urn:lsid:marinespecies.org:taxname:2	Animalia	Mollusca					phylum	http://www.marinespecies.org/aphia.php?p=taxdetails&id=51	accepted			WoRMS:citation:51	urn:lsid:marinespecies.org:taxname:51			
urn:lsid:marinespecies.org:taxname:55	"Polyplacophora Gray, 1821"	urn:lsid:marinespecies.org:taxname:51	Animalia	Mollusca	Polyplacophora				class	http://www.marinespecies.org/aphia.php?p=taxdetails&id=55	accepted			WoRMS:citation:55	urn:lsid:marinespecies.org:taxname:55			
urn:lsid:marinespecies.org:taxname:57	"Neoloricata Bergenhayn, 1955"	urn:lsid:marinespecies.org:taxname:55	Animalia	Mollusca	Polyplacophora				subclass	http://www.marinespecies.org/aphia.php?p=taxdetails&id=57	accepted		"Bergenhayn J. R. M. (1955). Die fossilen schwedischen Loricaten nebst einer vorlafigen Revision der ganzen Klasse Loricata. <i>Kungliga Fysiografiska Sallskapets Handlingar, Lund N.F. 66(8)</i>:  1-44  pl. 1-2"	WoRMS:citation:57	urn:lsid:marinespecies.org:taxname:57			
urn:lsid:marinespecies.org:taxname:58	"Lepidopleurida Thiele, 1909"	urn:lsid:marinespecies.org:taxname:57	Animalia	Mollusca	Polyplacophora	Lepidopleurida			order	http://www.marinespecies.org/aphia.php?p=taxdetails&id=58	accepted			WoRMS:citation:58	urn:lsid:marinespecies.org:taxname:58			
urn:lsid:marinespecies.org:taxname:59	"Leptochitonidae Dall, 1889"	urn:lsid:marinespecies.org:taxname:385383	Animalia	Mollusca	Polyplacophora	Lepidopleurida	Leptochitonidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=59	accepted			WoRMS:citation:59	urn:lsid:marinespecies.org:taxname:59			
urn:lsid:marinespecies.org:taxname:63	"Ischnochitonina Bergenhayn, 1930"	urn:lsid:marinespecies.org:taxname:382003	Animalia	Mollusca	Polyplacophora	Chitonida			suborder	http://www.marinespecies.org/aphia.php?p=taxdetails&id=63	synonym			WoRMS:citation:63	urn:lsid:marinespecies.org:taxname:382004			
urn:lsid:marinespecies.org:taxname:64	"Chitonidae Rafinesque, 1815"	urn:lsid:marinespecies.org:taxname:385404	Animalia	Mollusca	Polyplacophora	Chitonida	Chitonidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=64	accepted			WoRMS:citation:64	urn:lsid:marinespecies.org:taxname:64			
urn:lsid:marinespecies.org:taxname:69	"Ischnochitonidae Dall, 1889"	urn:lsid:marinespecies.org:taxname:385404	Animalia	Mollusca	Polyplacophora	Chitonida	Ischnochitonidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=69	accepted			WoRMS:citation:69	urn:lsid:marinespecies.org:taxname:69			
urn:lsid:marinespecies.org:taxname:90	"Acanthochitonina Bergenhayn, 1930"	urn:lsid:marinespecies.org:taxname:382003	Animalia	Mollusca	Polyplacophora	Chitonida			suborder	http://www.marinespecies.org/aphia.php?p=taxdetails&id=90	accepted			WoRMS:citation:90	urn:lsid:marinespecies.org:taxname:90			
urn:lsid:marinespecies.org:taxname:91	"Acanthochitonidae Pilsbry, 1893"	urn:lsid:marinespecies.org:taxname:385402	Animalia	Mollusca	Polyplacophora	Chitonida	Acanthochitonidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=91	accepted			WoRMS:citation:91	urn:lsid:marinespecies.org:taxname:91			
urn:lsid:marinespecies.org:taxname:101	"Gastropoda Cuvier, 1795"	urn:lsid:marinespecies.org:taxname:51	Animalia	Mollusca	Gastropoda				class	http://www.marinespecies.org/aphia.php?p=taxdetails&id=101	accepted		"DumÌ©ril, A.M.C. (1805). Zoologie analytique, ou mÌ©thode naturelle de classification des animaux, rendue plus facile ÌÊ l'aide de tableaux synoptiques. Paris, Allais. pp. i-xxxiii + 1-344."	WoRMS:citation:101	urn:lsid:marinespecies.org:taxname:101			
urn:lsid:marinespecies.org:taxname:102	"Prosobranchia Milne Edwards, 1848"	urn:lsid:marinespecies.org:taxname:101	Animalia	Mollusca	Gastropoda				subclass	http://www.marinespecies.org/aphia.php?p=taxdetails&id=102	accepted	unaccepted as paraphyletic taxon		WoRMS:citation:102	urn:lsid:marinespecies.org:taxname:102			
urn:lsid:marinespecies.org:taxname:103	Pulmonata	urn:lsid:marinespecies.org:taxname:14712	Animalia	Mollusca	Gastropoda				subclass	http://www.marinespecies.org/aphia.php?p=taxdetails&id=103	accepted			WoRMS:citation:103	urn:lsid:marinespecies.org:taxname:103			
urn:lsid:marinespecies.org:taxname:104	"Scaphopoda Bronn, 1862"	urn:lsid:marinespecies.org:taxname:51	Animalia	Mollusca	Scaphopoda				class	http://www.marinespecies.org/aphia.php?p=taxdetails&id=104	accepted			WoRMS:citation:104	urn:lsid:marinespecies.org:taxname:104			
