identifier	publicationType	full_reference	primaryTitle	title	pages	pageStart	pageEnd	volume	edition	publisher	authorList	editorList	created	language	uri	doi	schema#localityName
																	
WoRMS:citation:1	Citation	WoRMS (2014). Biota. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=1															
WoRMS:citation:10	Citation	WoRMS (2014). Viruses. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=10															
WoRMS:citation:100002	Citation	WoRMS (2014). Basidiomycetes. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100002															
WoRMS:citation:100003	Citation	WoRMS (2014). Tillitaceae. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100003															
WoRMS:citation:100005	Citation	WoRMS (2014). Zygomycetes. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100005															
WoRMS:citation:100008	Citation	"Kirk, P. (2014). Diaporthales. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100008"															
WoRMS:citation:100009	Citation	WoRMS (2014). Dothideales. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100009															
WoRMS:citation:100010	Citation	"Kirk, P. (2014). Eurotiales. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100010"															
WoRMS:citation:100011	Citation	WoRMS (2014). Halosphaeriales. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100011															
WoRMS:citation:100012	Citation	"Kirk, P. (2014). Hypocreales. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100012"															
WoRMS:citation:100013	Citation	"Kirk, P. (2014). Microascales. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100013"															
WoRMS:citation:100014	Citation	"Kirk, P. (2014). Onygenales. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100014"															
