"InteractionID","InteractionURL","Species1UUID","Species1Name","Species1LifeCycleStage","Species1OrganismPart","Species1Status","InteractionType","InteractionOntologyURL","Species2UUID","Species2Name","Species2LifeCycleStage","Species2OrganismPart","Species2Status","LocationUUID","LocationName","LocationCountryName","ISO2","Importance","InteractionRecordType","Reference","ReferenceDOI","Reference Page","Notes"
"27d4ad3b-5ba6-4bee-959a-61580dc0f9fe","http://phasmida.myspecies.info/node/207","5861eb97-3b69-4fce-9208-fe2edb52c6bb","Spinosipyloidea doddi","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","fff41ca7-11b4-4c55-b0c2-78dbadbad8b6","Alstonia muelleriana","","","","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"a363da58-51d5-4663-8dbf-34136a329399","http://phasmida.myspecies.info/node/206","8b221bd2-4e4c-4d03-af97-a81c9ea5bf51","Sipyloidea similis","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","44d697f2-89b2-45bf-90f2-45ae57968f66","Acacia","","","Native","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"c508e456-ccfa-42c6-9105-fb21a2030078","http://phasmida.myspecies.info/node/205","e14925a7-3254-4191-bb65-df07325bffe1","Sipyloidea rentzi","","","Native","found on","","8f54ee61-89cc-4074-adfe-6d6029278ee0","Eucalyptus","","","","","","","","","Interaction recorded in the wild","O. V.  Conle and M.  Friede, “Australien, Cairns.”, 2001. [Online]. Available: http://www.phasmatodea.com/web/guest/australia.","","",""
"05e68bba-713d-46d3-816c-8d5d14895f48","http://phasmida.myspecies.info/node/204","8beec208-a451-4137-91d0-bac8e8e3e4a9","Sipyloidea nelida","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","1bf6c0d6-3338-425f-8409-beb7bab19151","Cassia nemophila","","","","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"f34af49b-6d14-4966-9f6d-8f77a0ab01b5","http://phasmida.myspecies.info/node/203","8beec208-a451-4137-91d0-bac8e8e3e4a9","Sipyloidea nelida","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","44d697f2-89b2-45bf-90f2-45ae57968f66","Acacia","","","Native","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"baf0215e-668d-4a84-80ae-78d217ec25e6","http://phasmida.myspecies.info/node/202","94416a9b-e95c-4515-8261-9eb894c23ade","Sipyloidea larryi","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","8a512cde-6b38-441f-8ba3-77381cae8a78","Rubus","","","","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"48994011-a332-41f4-a74f-6561adc736fc","http://phasmida.myspecies.info/node/201","94416a9b-e95c-4515-8261-9eb894c23ade","Sipyloidea larryi","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","16318f7e-7eef-438b-9d5d-eb28bb8c08c7","Psidium guajava","","","","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"32ff9310-9869-4e60-8195-2bb9d8c8ea4f","http://phasmida.myspecies.info/node/200","94416a9b-e95c-4515-8261-9eb894c23ade","Sipyloidea larryi","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","8f54ee61-89cc-4074-adfe-6d6029278ee0","Eucalyptus","","","","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"a893972c-6e1d-4839-b305-d880419e3bcf","http://phasmida.myspecies.info/node/199","94416a9b-e95c-4515-8261-9eb894c23ade","Sipyloidea larryi","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","7fcd1e0e-81b0-4f74-9fbd-f682fefa65a6","Acronychia acidula","","","Native","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"905bb648-60d6-40f8-8e67-53cb7229dd1b","http://phasmida.myspecies.info/node/198","94416a9b-e95c-4515-8261-9eb894c23ade","Sipyloidea larryi","","","Native","found on","","8f54ee61-89cc-4074-adfe-6d6029278ee0","Eucalyptus","","","","","","","","","Interaction recorded in the wild","O. V.  Conle and M.  Friede, “Australien, Cairns.”, 2001. [Online]. Available: http://www.phasmatodea.com/web/guest/australia.","","",""
"a05175bb-88d7-4d6d-a5e7-3259e1dccb24","http://phasmida.myspecies.info/node/197","3ba36f83-1725-462e-8ae8-7c54d86108ae","Sipyloidea garradungensis","","","Captivity","eats","http://purl.obolibrary.org/obo/RO_0002470","8f54ee61-89cc-4074-adfe-6d6029278ee0","Eucalyptus","","","","","","","","","Interaction recorded in captivity","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"1a67c103-ed96-4e1a-b571-df59f8f8c860","http://phasmida.myspecies.info/node/196","3ba36f83-1725-462e-8ae8-7c54d86108ae","Sipyloidea garradungensis","","","Captivity","eats","http://purl.obolibrary.org/obo/RO_0002470","8a512cde-6b38-441f-8ba3-77381cae8a78","Rubus","","","","","","","","","Interaction recorded in captivity","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"7adec2b1-9174-425b-b211-05828286c49a","http://phasmida.myspecies.info/node/195","2287f987-9ea3-42a6-ac5f-ecb3f1cd278b","Sipyloidea caeca","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","16318f7e-7eef-438b-9d5d-eb28bb8c08c7","Psidium guajava","","","","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"2041bc54-5b25-47ee-8fc5-8a7f1dec7d65","http://phasmida.myspecies.info/node/194","ec3d51d7-6ead-4164-9400-06b0ef689b27","Sipyloidea brevicerci","","","Captivity","eats","http://purl.obolibrary.org/obo/RO_0002470","8a512cde-6b38-441f-8ba3-77381cae8a78","Rubus","","","","","","","","","Interaction recorded in captivity","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"64531a6a-2f32-4a22-9e80-125f03ca8735","http://phasmida.myspecies.info/node/193","ec3d51d7-6ead-4164-9400-06b0ef689b27","Sipyloidea brevicerci","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","dff04210-b697-4b5c-9801-ae4906ab6547","Brombya platynema","","","Native","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"bbdb7ede-63f5-4fa9-8f5c-77479503e78e","http://phasmida.myspecies.info/node/192","e1d13075-2be9-4cb8-a93e-9f848ef65c5f","Sipyloidea bella","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","44d697f2-89b2-45bf-90f2-45ae57968f66","Acacia","","","","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"113d489e-f984-43b7-9594-9a8313c8d4ba","http://phasmida.myspecies.info/node/191","c728ae3c-3b12-41a6-87fe-a1862d3e775e","Scionecra milledgei","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","8f54ee61-89cc-4074-adfe-6d6029278ee0","Eucalyptus","","","Native","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"a1fa33d2-25e9-4cd4-b31a-a0a6f1a6d9e3","http://phasmida.myspecies.info/node/190","1b31001e-b1b5-4c54-82a9-f0a8e3484f73","Rhamphosipyloidea queenslandica","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","04d956f3-b167-4a86-a34c-ceb83e1490ff","Solanum dimorphispinum","","","","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"d04b5c4c-58d5-4611-a2ec-94aa6edd3b22","http://phasmida.myspecies.info/node/189","85d7c26c-7371-42a5-a20a-74b94a0186b5","Rhamphosipyloidea palumensis","","","Captivity","eats","http://purl.obolibrary.org/obo/RO_0002470","f89d8c24-b143-4c7f-be9f-1375cf39a5fd","Rubus idaeus","","","","","","","","","Interaction recorded in captivity","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"a662f863-db4c-4b6d-b265-e1971a9a3e28","http://phasmida.myspecies.info/node/188","85d7c26c-7371-42a5-a20a-74b94a0186b5","Rhamphosipyloidea palumensis","","","Native","found on","","5ec050b9-e0a1-40b3-9c00-41f00f50286c","Melastoma","","","","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"f877198b-d132-40c0-bccb-4653d683da4a","http://phasmida.myspecies.info/node/187","d47f91c5-0033-4ae6-ad01-6cf3d763f1a9","Paronchestus pasimachus","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","44d697f2-89b2-45bf-90f2-45ae57968f66","Acacia","","","Native","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"b38a2228-bd0b-4ad5-ba25-16ea143a4e6a","http://phasmida.myspecies.info/node/186","b14c0992-8199-45ee-b930-7e0686ec719a","Paronchestus cornutus","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","44d697f2-89b2-45bf-90f2-45ae57968f66","Acacia","","","Native","","","","","","","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"737ecef0-b3d4-4a78-a084-e7f68dbc7060","http://phasmida.myspecies.info/node/185","354f685e-66b1-411b-8544-d76f8ec4d740","Paractenomorpha baehri","","","Native","found on","","58c630c9-5eb6-4a53-acad-4f1ccdb90970","Senna artemisioides","","","Native","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"fa7c999d-7155-4601-bb1a-0ab6047abe30","http://phasmida.myspecies.info/node/184","8f4ba092-5db1-453e-965a-e5df23ad9c57","Pachymorpha spinosa","","","Native","found on","","d45f1300-6396-4c15-b26b-cb113c270c83","Casuarina pauper","","","Native","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"37d78e2a-6645-48c8-908a-6e553272f526","http://phasmida.myspecies.info/node/183","8f4ba092-5db1-453e-965a-e5df23ad9c57","Pachymorpha spinosa","","","Native","found on","","42ff6276-3c75-40eb-a687-2fd651e8d1e2","Ptilotus obovatus","","","Native","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"6997ba1f-a386-4592-91a8-b435c1ba950f","http://phasmida.myspecies.info/node/182","dfe6ddbc-11f3-4c29-89f9-aac70c0a7385","Onchestus rentzi","","","Native","found on","","8f54ee61-89cc-4074-adfe-6d6029278ee0","Eucalyptus","","","","","","","","","Interaction recorded in the wild","O. V.  Conle and M.  Friede, “Australien, Cairns.”, 2001. [Online]. Available: http://www.phasmatodea.com/web/guest/australia.","","",""
"fcab0e4f-7ade-408f-a46b-0163504595cf","http://phasmida.myspecies.info/node/181","dfe6ddbc-11f3-4c29-89f9-aac70c0a7385","Onchestus rentzi","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","f89d8c24-b143-4c7f-be9f-1375cf39a5fd","Rubus idaeus","","","","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"87dfc0dd-489a-4ef7-89ef-d3e0474f3adf","http://phasmida.myspecies.info/node/180","dfe6ddbc-11f3-4c29-89f9-aac70c0a7385","Onchestus rentzi","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","0b1697b7-15bc-4d37-9ba3-8fbf22144067","Rhodamnia sessililflora","","","","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"ea74e265-0974-459c-9588-0a0aabc11675","http://phasmida.myspecies.info/node/179","dfe6ddbc-11f3-4c29-89f9-aac70c0a7385","Onchestus rentzi","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","16318f7e-7eef-438b-9d5d-eb28bb8c08c7","Psidium guajava","","","","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"d834a12f-8f52-47aa-ac85-2407ba82f182","http://phasmida.myspecies.info/node/178","dfe6ddbc-11f3-4c29-89f9-aac70c0a7385","Onchestus rentzi","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","cbf6b349-d9d2-4f96-8358-edeceafd775d","Calliandra tiemorensis","","","Native","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"9253a885-9b1e-4440-b45d-726e2302643a","http://phasmida.myspecies.info/node/177","dfe6ddbc-11f3-4c29-89f9-aac70c0a7385","Onchestus rentzi","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","6a5f201d-59dd-44e0-a7e4-8dc3dffcac4d","Macaranga subdentata","","","Native","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"fbe2c598-53c2-41aa-aeb0-aa8adb1f7b8d","http://phasmida.myspecies.info/node/176","404f7729-3752-4da9-a845-0d247821ea3f","Neopromachus","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","5262882b-9b06-4721-a067-dff9968a4a4f","Pteridophyta","","","","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"26a82998-abd1-47fb-8f48-04c0618d1499","http://phasmida.myspecies.info/node/175","9d832679-b29b-4f4a-bc6b-1cbd41bb9c90","Megacrania batesii","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","b8f60627-50f4-41ac-9028-c9eb23e04109","Freycinetia","","","","","","","","","Interaction recorded in the wild","P. D.  Brock and J. W.  Hasenpusch, The complete field guide to stick and leaf insects of Australia. CSIRO Publishing, Australia, 2009.","","",""
"1d58f985-0079-4242-9708-e98c7ed7e383","http://phasmida.myspecies.info/node/174","9d832679-b29b-4f4a-bc6b-1cbd41bb9c90","Megacrania batesii","","","Native","eats","http://purl.obolibrary.org/obo/RO_0002470","68a0a598-33fd-4ca2-a147-50a992a14036","Pandanus","","","Native","","","","","","Interaction recorded in the wild","O. V.  Conle and M.  Friede, “Australien, Cairns.”, 2001. [Online]. Available: http://www.phasmatodea.com/web/guest/australia.","","",""
